Sample		ST	adk	gyrB	mdh	metE	pntA	purM	pyrC	mismatches	uncertainty	depth		maxMAF
ERR572546_2	69	7	11	4	37	12	1	20	0		-		35.4838571429	0.135135135135
ERR572546_1	69	7	11	4	37	12	1	20	0		-		35.3997142857	0.142857142857
ERR572556_1	69*	7	11	4	37*	12	1	20	metE_37/1snp	-		32.6642857143	0.0909090909091
ERR572556_2	69*	7	11	4	37*	12	1	20	metE_37/1snp	-		34.4801428571	0.0909090909091
ERR572611_1	69*	7	11	4	37*	12	1	20	metE_37/1snp	-		41.2382857143	0.102564102564
ERR572611_2	69*	7	11	4	37*	12	1	20	metE_37/1snp	-		43.3437142857	0.131578947368
ERR572647_1	69	7	11	4	37	12	1	20	0		-		43.8754285714	0.047619047619
ERR572647_2	69	7	11	4	37	12	1	20	0		-		43.901		0.0789473684211
ERR572690_1	69	7	11	4	37	12	1	20	0		-		47.5045714286	0.0588235294118
ERR572690_2	69	7	11	4	37	12	1	20	0		-		47.3678571429	0.108695652174
ERR572761_1	69*	7	11	4	37*	12	1	20	metE_37/1snp	-		36.4442857143	0.0666666666667
ERR572761_2	69*	7	11	4	37*	12	1	20	metE_37/1snp	-		36.7775714286	0.142857142857
